trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
1,0,2,0.961843500001123,1.20147210001596,1,SHINEd_m31_177_mask.tif,177,m31,999
2,0,2,0.318187099997886,0.820896199991694,1,SHINEd_m08_177_mask.tif,177,m08,999
3,0,3,0.513598900026409,1.10553230001824,1,SHINEd_m31_155_mask.tif,155,m31,999
4,1,3,0.0690071000135504,0.5521168000123,1,SHINEd_m08_022_mask.tif,22,m08,999
5,0,2,0.40866729998379,0.740118700021412,1,SHINEd_m08_199_mask.tif,199,m08,999
6,1,2,0.291826899978332,0.685871800000314,1,SHINEd_m08_000_mask.tif,0,m08,999
7,0,3,0.746210400015116,0.887646499992115,1,SHINEd_f24_177_mask.tif,177,f24,999
8,1,2,0.164144700014731,0.72576790000312,1,SHINEd_m31_044_mask.tif,44,m31,999
9,0,2,0.314825699984794,1.15763889998198,1,SHINEd_m08_133_mask.tif,133,m08,999
10,1,2,0.382563199993456,1.10118689999217,1,SHINEd_m31_000_mask.tif,0,m31,999
11,0,2,0.517762800009223,0.815349799988326,1,SHINEd_f24_177_mask.tif,177,f24,999
12,1,2,0.357645099982619,0.876787699991837,1,SHINEd_f24_000_mask.tif,0,f24,999
13,1,2,0.313863399991533,0.7825545000087,1,SHINEd_f06_000_mask.tif,0,f06,999
14,1,3,0.947523700015154,0.940764600003604,1,SHINEd_m08_000_mask.tif,0,m08,999
15,0,2,0.308748300012667,0.742064899997786,1,SHINEd_m08_199_mask.tif,199,m08,999
16,0,3,0.354633100010687,0.572673899994697,1,SHINEd_f24_155_mask.tif,155,f24,999
17,0,3,0.396938299993053,0.728519099997357,1,SHINEd_f06_199_mask.tif,199,f06,999
18,0,3,0.497718899976462,0.517202599992743,1,SHINEd_f06_133_mask.tif,133,f06,999
19,0,2,0.39706109999679,0.517630300018936,1,SHINEd_f06_088_mask.tif,88,f06,999
20,0,2,0.427506300009554,0.597435700008646,1,SHINEd_f06_111_mask.tif,111,f06,999
21,1,3,0.362100500002271,0.540356299985433,1,SHINEd_f24_000_mask.tif,0,f24,999
22,0,3,0.399447100004181,0.455154199997196,1,SHINEd_f06_177_mask.tif,177,f06,999
23,0,3,0.580613299971446,0.597053900011815,1,SHINEd_m31_155_mask.tif,155,m31,999
24,1,3,0.308053999993717,0.79765569997835,1,SHINEd_f24_044_mask.tif,44,f24,999
25,0,1,0.439719000016339,0.7409600999963,1,SHINEd_m31_111_mask.tif,111,m31,999
26,0,2,0.464854500023648,0.522520799975609,1,SHINEd_m08_111_mask.tif,111,m08,999
27,0,1,0.258543199975975,0.654848200007109,1,SHINEd_m31_088_mask.tif,88,m31,999
28,0,1,0.380300299992086,0.445057500008261,1,SHINEd_f06_088_mask.tif,88,f06,999
29,0,2,0.342423599999165,0.502953300019726,1,SHINEd_f06_155_mask.tif,155,f06,999
30,1,3,0.38678329999675,0.629082200000994,1,SHINEd_f24_066_mask.tif,66,f24,999
31,1,1,0.325201400002697,0.612365600012708,1,SHINEd_m08_022_mask.tif,22,m08,999
32,1,1,0.144193600019207,0.511028699984308,1,SHINEd_f06_044_mask.tif,44,f06,999
33,0,3,0.34551559999818,0.733431600005133,1,SHINEd_m31_133_mask.tif,133,m31,999
34,0,3,0.356612200004747,0.661519899993436,1,SHINEd_f06_199_mask.tif,199,f06,999
35,0,3,0.364567499986151,0.5978119999927,1,SHINEd_f24_199_mask.tif,199,f24,999
36,0,2,0.611054800014244,0.452362999989418,1,SHINEd_m08_044_mask.tif,44,m08,999
37,0,3,0.471771500015166,0.830979299993487,1,SHINEd_m08_177_mask.tif,177,m08,999
38,0,2,0.619623900012812,0.549861399980728,1,SHINEd_f24_133_mask.tif,133,f24,999
39,0,2,0.463547099992866,0.477785399998538,1,SHINEd_f06_155_mask.tif,155,f06,999
40,0,2,0.660541299992474,0.452510200004326,1,SHINEd_f24_133_mask.tif,133,f24,999
41,0,2,0.200189200026216,0.719033999979729,1,SHINEd_m08_199_mask.tif,199,m08,999
42,0,2,0.118700099992566,0.504342700005509,1,SHINEd_m31_177_mask.tif,177,m31,999
43,0,3,0.365861199999927,0.57277639998938,1,SHINEd_f24_177_mask.tif,177,f24,999
44,0,1,0.466065200016601,0.469512400013627,1,SHINEd_m08_111_mask.tif,111,m08,999
45,0,3,0.374152400007006,0.566097200004151,1,SHINEd_f24_199_mask.tif,199,f24,999
46,0,2,0.425628500001039,0.628044199984288,1,SHINEd_f24_133_mask.tif,133,f24,999
47,1,1,0.290657300007297,0.469068400008837,1,SHINEd_m08_066_mask.tif,66,m08,999
48,1,2,0.49954859999707,0.471600599994417,1,SHINEd_f24_088_mask.tif,88,f24,999
49,0,2,0.258145800005877,0.430253099999391,1,SHINEd_f24_199_mask.tif,199,f24,999
50,0,1,0.308503799984464,0.563227200007532,1,SHINEd_f06_066_mask.tif,66,f06,999
51,0,2,1.00352169998223,0.860506500001065,1,SHINEd_m08_133_mask.tif,133,m08,999
52,1,3,0.33495980000589,0.421807600010652,1,SHINEd_m08_044_mask.tif,44,m08,999
53,0,1,0.311863599985372,0.477872199990088,1,SHINEd_m08_088_mask.tif,88,m08,999
54,1,2,0.323516899981769,0.552256499999203,1,SHINEd_m31_000_mask.tif,0,m31,999
55,1,2,0.3217861999874,0.397547200002009,1,SHINEd_f24_088_mask.tif,88,f24,999
56,1,3,0.313067700015381,0.381355600024108,1,SHINEd_f24_022_mask.tif,22,f24,999
57,1,3,0.320404300000519,0.41309449999244,1,SHINEd_f06_022_mask.tif,22,f06,999
58,1,1,0.485883899993496,0.377243499999167,1,SHINEd_m31_066_mask.tif,66,m31,999
59,1,3,0.287341099989135,0.277713999996195,1,SHINEd_f24_066_mask.tif,66,f24,999
60,0,1,0.53415690001566,0.83007909997832,1,SHINEd_m31_000_mask.tif,0,m31,999
61,1,2,0.324698799988255,0.270600299991202,1,SHINEd_f06_022_mask.tif,22,f06,999
