trialN,EmoResp,ConfResp,EmoRT,ConfRT,trialSuccess,StimFile,MorphLevel,Indiv,SubID
1,0,3,0.652783500001533,0.790645999979461,1,SHINEd_m08_177_mask.tif,177,m08,999
2,1,3,0.339738200011197,0.452243200008525,1,SHINEd_m31_044_mask.tif,44,m31,999
3,0,3,0.549091599998064,0.46999089999008,1,SHINEd_m08_088_mask.tif,88,m08,999
4,0,2,0.841854099999182,0.459781900019152,1,SHINEd_f24_111_mask.tif,111,f24,999
5,0,3,0.359410200006096,0.699479400005657,1,SHINEd_f24_177_mask.tif,177,f24,999
6,0,3,0.50325109998812,0.677974299993366,1,SHINEd_f24_155_mask.tif,155,f24,999
7,0,3,0.507213100005174,0.606432600005064,1,SHINEd_m08_155_mask.tif,155,m08,999
8,1,3,0.511173700011568,1.14939569999115,1,SHINEd_m31_022_mask.tif,22,m31,999
9,0,3,0.579320499993628,0.567417299986118,1,SHINEd_m08_155_mask.tif,155,m08,999
10,0,2,0.374006600002758,0.348025100014638,1,SHINEd_f06_066_mask.tif,66,f06,999
11,1,2,0.639173800009303,0.582132600015029,1,SHINEd_f06_000_mask.tif,0,f06,999
12,0,2,0.738158199994359,0.579236599995056,1,SHINEd_m31_111_mask.tif,111,m31,999
13,0,3,0.299640800018096,0.543243199994322,1,SHINEd_f24_199_mask.tif,199,f24,999
14,0,2,0.447487500001444,0.575044000026537,1,SHINEd_m31_133_mask.tif,133,m31,999
15,0,3,0.200765699992189,0.654885700001614,1,SHINEd_f06_133_mask.tif,133,f06,999
16,1,3,0.376593399996636,0.412695200007875,1,SHINEd_f24_000_mask.tif,0,f24,999
17,1,2,0.358406899991678,0.406746299995575,1,SHINEd_m31_022_mask.tif,22,m31,999
18,0,3,0.301563000015449,0.502082999999402,1,SHINEd_m08_199_mask.tif,199,m08,999
19,0,3,0.443892499984941,0.423302899987902,1,SHINEd_m31_177_mask.tif,177,m31,999
20,1,2,0.344369800004642,0.343390099995304,1,SHINEd_f06_022_mask.tif,22,f06,999
21,0,3,0.173808999999892,0.55802979998407,1,SHINEd_f06_177_mask.tif,177,f06,999
22,1,2,0.319592099986039,0.414409499993781,1,SHINEd_m31_022_mask.tif,22,m31,999
23,1,1,0.621954600006575,0.494328900007531,1,SHINEd_m08_111_mask.tif,111,m08,999
24,0,3,0.514676200022222,0.346571000001859,1,SHINEd_f24_133_mask.tif,133,f24,999
25,0,1,0.848430799989728,0.845762199984165,1,SHINEd_m08_066_mask.tif,66,m08,999
26,0,2,0.490792199998396,0.39312510000309,1,SHINEd_f24_111_mask.tif,111,f24,999
27,1,3,0.316276699973969,0.550185700005386,1,SHINEd_m31_000_mask.tif,0,m31,999
28,0,2,0.453185699996538,0.478707100002794,1,SHINEd_m31_199_mask.tif,199,m31,999
29,0,3,0.359650400001556,0.461848800012376,1,SHINEd_f24_155_mask.tif,155,f24,999
30,0,3,0.322123999998439,0.342127200012328,1,SHINEd_m31_177_mask.tif,177,m31,999
31,1,2,0.392914299998665,0.49454839999089,1,SHINEd_m31_022_mask.tif,22,m31,999
32,1,3,0.38731099999859,0.427340700000059,1,SHINEd_f06_000_mask.tif,0,f06,999
33,0,2,0.391074599989224,0.444170700007817,1,SHINEd_m08_199_mask.tif,199,m08,999
34,0,1,0.778085900004953,0.349759700009599,1,SHINEd_m08_088_mask.tif,88,m08,999
35,0,2,0.677877200010698,0.575141800014535,1,SHINEd_m08_066_mask.tif,66,m08,999
36,1,3,0.302989599993452,0.487411500012968,1,SHINEd_f24_066_mask.tif,66,f24,999
37,0,3,0.385985900007654,0.494298100005835,1,SHINEd_f06_133_mask.tif,133,f06,999
38,0,3,0.402288000012049,0.597248000005493,1,SHINEd_f06_111_mask.tif,111,f06,999
39,1,1,0.37868389999494,0.422188900003675,1,SHINEd_m08_044_mask.tif,44,m08,999
40,0,3,0.387358200008748,0.404393000004347,1,SHINEd_f24_111_mask.tif,111,f24,999
41,1,3,0.453152300004149,0.371836000005715,1,SHINEd_f24_000_mask.tif,0,f24,999
42,0,2,0.296068199997535,0.357001399999717,1,SHINEd_f24_177_mask.tif,177,f24,999
43,0,3,0.391995999991195,0.518252400011988,1,SHINEd_m08_088_mask.tif,88,m08,999
44,0,3,0.346436699997867,0.320010600000387,1,SHINEd_f06_199_mask.tif,199,f06,999
45,1,2,0.263338899996597,0.919959899998503,1,SHINEd_m31_066_mask.tif,66,m31,999
46,0,3,0.241418499994325,0.298853899992537,1,SHINEd_f06_199_mask.tif,199,f06,999
47,1,3,0.214057999983197,0.508497900009388,1,SHINEd_f06_022_mask.tif,22,f06,999
48,1,1,0.377430900000036,0.34378850000212,1,SHINEd_m08_000_mask.tif,0,m08,999
49,0,2,0.288836599997012,0.326652699994156,1,SHINEd_m08_155_mask.tif,155,m08,999
50,1,3,0.359266399987973,0.309579099994153,1,SHINEd_f24_044_mask.tif,44,f24,999
51,0,3,0.867042300000321,0.348674200009555,1,SHINEd_m31_177_mask.tif,177,m31,999
52,1,3,0.377004600013606,0.299680600001011,1,SHINEd_m31_088_mask.tif,88,m31,999
53,0,3,0.47456879998208,0.350590999994893,1,SHINEd_f24_111_mask.tif,111,f24,999
54,1,3,0.342305500002112,0.36153560000821,1,SHINEd_m08_022_mask.tif,22,m08,999
55,1,3,0.226119600003585,0.325674699997762,1,SHINEd_f24_044_mask.tif,44,f24,999
56,1,3,0.271852999983821,0.293513099983102,1,SHINEd_f24_066_mask.tif,66,f24,999
57,0,3,0.259169999975711,0.316528800001834,1,SHINEd_m31_155_mask.tif,155,m31,999
58,0,2,0.307024399982765,0.404237800015835,1,SHINEd_m08_111_mask.tif,111,m08,999
59,1,3,0.194674099999247,0.301548899995396,1,SHINEd_m31_066_mask.tif,66,m31,999
60,1,1,0.283077099971706,0.357619899994461,1,SHINEd_f24_088_mask.tif,88,f24,999
61,0,3,0.274897600000259,0.34193170000799,1,SHINEd_f24_177_mask.tif,177,f24,999
62,1,3,0.523431999987224,0.459649399999762,1,SHINEd_m31_066_mask.tif,66,m31,999
63,0,3,0.459279399976367,0.296317800006364,1,SHINEd_f06_155_mask.tif,155,f06,999
64,1,2,0.355020000017248,0.372900999995181,1,SHINEd_m08_000_mask.tif,0,m08,999
65,0,3,0.384193800011417,0.310387900011847,1,SHINEd_m08_066_mask.tif,66,m08,999
66,1,1,1.95570170000428,0.624566699989373,1,SHINEd_m31_155_mask.tif,155,m31,999
67,0,3,0.233874300000025,0.487089600006584,1,SHINEd_f06_155_mask.tif,155,f06,999
68,0,2,0.421672099997522,0.366556199995102,1,SHINEd_m31_133_mask.tif,133,m31,999
69,0,3,0.0526340999931563,0.449425699975109,1,SHINEd_f06_177_mask.tif,177,f06,999
70,1,2,0.264393099991139,0.317338499997277,1,SHINEd_f24_088_mask.tif,88,f24,999
71,1,3,0.22866600000998,0.270195699995384,1,SHINEd_f24_000_mask.tif,0,f24,999
72,1,2,0.271864400012419,0.324611999996705,1,SHINEd_m31_066_mask.tif,66,m31,999
73,0,2,0.090593099972466,0.327787599992007,1,SHINEd_f24_155_mask.tif,155,f24,999
74,0,3,0.198521799989976,0.358899699989706,1,SHINEd_m08_199_mask.tif,199,m08,999
75,0,2,0.514809400017839,0.379106799984584,1,SHINEd_f06_066_mask.tif,66,f06,999
76,0,1,0.539078500005417,0.534024299995508,1,SHINEd_m08_022_mask.tif,22,m08,999
